Tipo;CNPJ;Nome;Logradouro, Nœmero;CEP;Bairro;Cidade;UF;Email;Fone
2;72.346.232/0001-07;MULTIBRASIL INDUSTRIA LTDA;RUA PORTO ALEGRE S/N;87030-080;JARDIM BRASIL;Maringá;PR;multibrasil@gmail.com;45296572
2;10.198.367/0001-15;PARCERIA INCORPORACOES LTDA;RUA FRANCISCO PARISE, 2354;80000-000;SANTA FELICIDADE;Santa Rita do Trivelato;MT;parceria@gmail.com;37746749
2;76.660.885/0001-17;SABANCO DE CURITIBA SERV ASS BANC COML LTDA;RUA PROF FERNANDO MOREIRA,586;80430-080;CENTRO;Senhor do Bonfim;BA;sabanco@gmail.com;28614974
2;01.421.772/0001-60;SAO MIGUEL EMBALAGENS LTDA. EPP;RUA DOIS, 415 - LOCALIDADE PALMITAL;84460-000;BOM JARDIM DO SUL;Dores do Rio Preto;ES;sao@gmail.com;62477693
2;73.232.340/0001-11;BASEFORMA ENGENHARIA DE PROJETOS E OBRAS LTDA;R PARANA 1113;85960-000;CENTRO;Capim Branco;MG;baseforma@gmail.com;51886717
2;03.905.418/0001-36;W.R. GARCIA E CIA LTDA;R. ALEXANDRA, 802;86809-090;VILA BRUNA;Paulista;PE;w.r.@gmail.com;15678429
2;89.848.543/0280-04;LOJAS COLOMBO S A COMERCIO UTILIDADES DOMESTICAS;ARAPONGAS,370;86701-000;CENTRO;Arapongas;PR;lojas@gmail.com;15090630
2;80.224.785/0001-15;ELETROTRAFO PRODUTOS ELETRICOS LTDA;AV. DR. FCO. LACERDA JR,1551;86300-000;CENTRO;Cariacica;ES;eletrotrafo@gmail.com;1664951
2;07.554.908/0001-96;AGUIA DOURADA PROPAGANDAS;RUA PITANGUI, 34 OU RUA TAPAJOS, 294;86027-280;JD. CASTELO;Turvolândia;MG;aguia@gmail.com;67996253
2;08.768.690/0001-35;BCA INDòSTRIA E COMƒRCIO DE CONFEC‚ÍES LTDA;AV. ALZIRO ZARUR, 387;87080-590;VILA VARDELINA;Maringá;PR;bca@gmail.com;94053435
2;76.287.515/0001-86;CALIVER DO BRASIL IND COM REPR MAQ AGRICOLAS;RODOVIA PR 170 SN KM 01 P;86600-000;PQ IND BANDEIRANTES;Rolândia;PR;caliver@gmail.com;46416217
2;79.430.682/0075-69;FARMACIA E DROGARIA NISSEI LTDA-U VITORI;AV. MANOEL RIBAS, 111;84600-000;CENTRO;Piedade de Caratinga;MG;farmacia@gmail.com;49114421
2;85.090.348/0001-70;EVEREST LIMPEZA E CONSERVACAO LTDA.;RUA PADRE ANCHIETA,247;80410-030;MERCES;Curitiba;PR;everest@gmail.com;61597498
